category,prompt_name,question,follow_up
rage_fuel,Tedious Task Torture,"What's a task you do repeatedly that makes you want to throw your laptop into the sea?","What if an AI could do 80% of that while you drink coffee?"
rage_fuel,The Spreadsheet of Doom,"Is there a spreadsheet or manual process somewhere that everyone hates but nobody fixes?","What would it look like if that spreadsheet could think?"
rage_fuel,Copy-Paste Crime Scene,"Where do you find yourself copy-pasting the same thing over and over like a sad robot?","How would a smart robot handle this instead?"
rage_fuel,Meeting Murder Mystery,"Which recurring meeting could be replaced by a smart summary or automated update?","What information do people actually need from that meeting?"
rage_fuel,Context Switching Tax,"What context switch costs you the most mental energy every day?","What if you never had to make that switch again?"
curiosity_spark,Forbidden Territory,"What's a domain completely outside your job that secretly fascinates you?","What would a tiny project in that space look like?"
curiosity_spark,Tool Envy,"What tool or app do you wish existed but nobody's built?","What's the simplest version of that you could hack together?"
curiosity_spark,The 3AM Idea,"What's something you've thought about building but talked yourself out of?","What was the excuse? Is it still valid?"
curiosity_spark,Stolen Features,"What feature from one product do you wish another product had?","Could you build a bridge between them?"
curiosity_spark,Time Machine,"If you could send a tool back to yourself from 6 months ago, what problem would it solve?","What's stopping you from building that now?"
superpower_unlock,AI Ignorance Zone,"What's something you assume AI can't do that you've never actually tested?","What would you build if that assumption was wrong?"
superpower_unlock,Expert Bottleneck,"What task requires an expert that a well-prompted AI might approximate?","Who's the expert and what do they actually do?"
superpower_unlock,Speed Multiplier,"What takes you an hour that could take 5 minutes with the right automation?","What's the input and output of that process?"
superpower_unlock,The Boring Parts,"What's the most boring part of something you actually enjoy doing?","Could AI handle the boring parts while you do the fun parts?"
superpower_unlock,Scaling Yourself,"If you could clone yourself for one task, what would the clone do?","What instructions would you give the clone?"
team_suffering,Support Ticket Patterns,"What questions does your team answer over and over in support/slack?","Could an AI draft responses or find relevant docs?"
team_suffering,Onboarding Hell,"What do new team members struggle with that veterans know by heart?","What would an AI onboarding buddy look like?"
team_suffering,Documentation Graveyard,"Where does documentation go to die, and why does nobody update it?","What if docs updated themselves from code/conversations?"
team_suffering,The Deployment Dance,"What's the most anxiety-inducing part of shipping something?","What would give you confidence before hitting deploy?"
team_suffering,Cross-Team Translation,"What information gets lost or mangled between teams?","Could an AI be a real-time translator?"
product_sense,User Complaint Mining,"What do users complain about that you secretly agree with?","What's the laziest possible fix that would still help?"
product_sense,Feature Nobody Uses,"What feature exists that nobody uses? Why?","Could you make it actually good, or should it die?"
product_sense,The Workaround,"What workaround do power users do that should be a real feature?","How hard would it be to build that workaround into the product?"
product_sense,Competitor Envy,"What does a competitor do better that makes you jealous?","Could you prototype something better in a week?"
product_sense,Dashboard Dreams,"What dashboard or view would give you instant insight into what matters?","What data already exists that could power this?"
chaos_mode,Random API Mashup,"Pick two random APIs (internal or external). What happens if they talk to each other?","What's the weirdest useful thing they could do together?"
chaos_mode,Reverse Engineer,"What if you had to rebuild one tool you use from scratch, what would you change?","What's the minimum viable rebellion?"
chaos_mode,AI Art Attack,"What's the ugliest or most annoying part of your daily work visually?","What if an AI generated something better?"
chaos_mode,Bot Battle,"If your work had a chatbot, what personality would make it actually useful?","What questions would people ask it?"
chaos_mode,The Prank Project,"What harmless prank or Easter egg would make coworkers smile?","Is there actually value hiding in that joke?"
learning_mode,Skill Gap Safari,"What skill do you keep meaning to learn but never prioritize?","What project would force you to learn it?"
learning_mode,Language Barrier,"What programming language or framework intimidates you?","What tiny thing could you build to break through?"
learning_mode,AI Pair Programming,"Have you actually tried letting AI write code while you direct? How did it go?","What would you try differently this time?"
learning_mode,Tutorial Graveyard,"What tutorial did you start but never finish?","What if you finished it by building something real?"
learning_mode,The Conference Talk,"If you had to give a 5-minute demo of something you built, what would impress you?","What's the minimum build to make that demo?"
meta_hack,Hackathon Hack,"What would make this hackathon itself run better?","Could you build that tool during the hackathon?"
meta_hack,AI Workflow,"What part of your Claude Code / Cursor workflow still sucks?","What plugin or hook would fix it?"
meta_hack,Prompt Library,"What prompts do you use repeatedly? Should they be saved somewhere?","What would a prompt manager look like?"
meta_hack,Demo Day Hero,"What would make your demo day presentation unforgettable?","Work backwards - what do you need to build for that moment?"
meta_hack,Documentation of Destruction,"What would help the next hackathon team avoid your mistakes?","Could you build something that captures learnings automatically?"
wild_card,Personal Obsession,"What random thing are you obsessed with that has nothing to do with work?","How could AI make that obsession more fun or deeper?"
wild_card,Guilty Pleasure Tech,"What technology do you secretly want to learn but feels impractical?","What silly project could justify learning it?"
wild_card,Impress Someone,"If you could build something to genuinely impress one specific person, who and what?","What would make them say 'holy shit'?"
wild_card,Childhood Dream,"What did 12-year-old you think was the coolest possible thing to build?","Is it actually impossible now, or just forgotten?"
wild_card,Spite-Driven Development,"Has anyone ever told you something was impossible or stupid? Prove them wrong.","What would shutting them up look like?"
telemetry_terminal,Swap Anxiety,"Which part of executing a swap on Terminal makes you hold your breath?","What would make you confident it'll work?"
telemetry_terminal,Chart Rage,"What's the most frustrating thing about our charting experience?","What would 'best-in-class' look like?"
telemetry_terminal,New User Death,"Where do new users get confused in the first 5 minutes?","What would zero-friction onboarding look like?"
telemetry_terminal,Power User Gap,"What do power traders keep asking for that we haven't built?","Which request would have the biggest impact?"
telemetry_terminal,Mobile Suffering,"What breaks or sucks on mobile that works fine on desktop?","Is mobile even worth fixing, or should we go native?"
telemetry_bonkbot,Button Missing,"What button should exist in BONKbot that doesn't?","Where in the flow would it go?"
telemetry_bonkbot,Flow Dead End,"Where do users get stuck in a BONKbot flow with no good option?","What escape hatch should exist?"
telemetry_bonkbot,Error Confusion,"Which BONKbot error state leaves users most confused?","What would a helpful error look like?"
telemetry_bonkbot,Onboarding Drop,"Where do new BONKbot users give up during setup?","What's the minimum viable first trade?"
telemetry_bonkbot,State Confusion,"When does BONKbot's conversation state get out of sync with reality?","How should it recover gracefully?"
telemetry_bonkbot,Button Overload,"Which BONKbot screen has too many buttons?","What could be hidden or removed?"
telemetry_solana,RPC Roulette,"Which RPC call fails most often and ruins the user experience?","Is it the RPC or our handling of failures?"
telemetry_solana,Latency Hotspot,"Where does our stack create the most latency for users?","What would 'instant' feel like?"
telemetry_solana,Transaction Mystery,"What happens between 'submit' and 'confirmed' that users don't understand?","How could we make the wait less painful?"
telemetry_solana,Fee Surprise,"When do transaction fees surprise or confuse users?","Should we eat some fees for better UX?"
telemetry_solana,Simulation Gap,"When does transaction simulation lie to us or the user?","What would bulletproof simulation look like?"
telemetry_data,Hidden Patterns,"What patterns do we see in our data that users would pay for?","How would we surface it without overwhelming them?"
telemetry_data,Rug Signal,"What signals in our data could help traders avoid rugs/scams?","How confident would we need to be before warning?"
telemetry_data,Whale Watching,"What whale/smart money behavior do we see that users don't?","Is this alpha we should share or keep?"
telemetry_data,Your Own Data,"What does a user's own trading history tell them that we don't show?","What's the 'wrapped' moment for traders?"
telemetry_data,Market Timing,"What market conditions does our data reveal that affect trade success?","Should we nudge users to wait?"
telemetry_cross,Login Bridge,"What should happen when a BONKbot user opens Terminal for the first time?","What context should carry over?"
telemetry_cross,Notification Sync,"What Terminal events should push to Telegram (or vice versa)?","What's useful vs. annoying?"
telemetry_cross,Wallet Unity,"How should wallet/position state sync between products?","Real-time or on-demand?"
telemetry_cross,Feature Parity,"What can you do in one product that you can't in the other?","Should everything be everywhere?"
telemetry_cross,Holy Shit Moment,"What's the 'holy shit' moment when Terminal and BONKbot work together?","What's the demo of that?"
telemetry_psychology,Post-Rekt,"How could we help someone who just got rekt?","Comfort or actionable next steps?"
telemetry_psychology,FOMO Trigger,"When does our UI accidentally encourage bad trades?","What would responsible design look like?"
telemetry_psychology,Win Streak Danger,"Should we warn users on a hot streak that luck isn't skill?","Would anyone actually listen?"
telemetry_psychology,Position Anxiety,"What information would help users hold positions with confidence?","What makes diamond hands vs. paper hands?"
telemetry_psychology,Exit Strategy,"How could we help traders plan exits before they enter?","Take-profit and stop-loss, or something smarter?"
telemetry_competitive,Jealousy Feature,"Which competitor feature makes you jealous every time you see it?","Could we build it better?"
telemetry_competitive,Our Moat,"What do we do better than anyone that we should double down on?","Are users aware of this advantage?"
telemetry_competitive,Overhyped Trap,"What's overhyped in crypto trading UX that we shouldn't waste time on?","Why does everyone else build it?"
telemetry_competitive,Switching Cost,"What makes users stay with us vs. competitors?","What would make switching feel impossible?"
telemetry_dx,Local Dev Hell,"What's the worst part of your local development setup?","What would 'just works' look like?"
telemetry_dx,Debug Nightmare,"What makes debugging production issues take forever?","What tooling would 10x this?"
telemetry_dx,Deploy Anxiety,"What's the scariest part of deploying to production?","What would zero-fear deploys need?"
